UniProtAC;Localization;CNN;;;;;;;;;;;;;;;;;;;;Fully Connected;;;;;;;;;;;;;;;Final;;;;;;;;;
;;Apical1;Apical2;Apical3;Apical4;Apical5;Basolateral1;Basolateral2;Basolateral3;Basolateral4;Basolateral5;Plasma1;Plasma2;Plasma3;Plasma4;Plasma5;Other1;Other2;Other3;Other4;Other5;Apical1;Apical2;Apical3;Apical4;Apical5;Basolateral1;Basolateral2;Basolateral3;Basolateral4;Basolateral5;Other1;Other2;Other3;Other4;Other5;Binary1;Binary2;Binary3;Binary4;Binary5;Ternary1;Ternary2;Ternary3;Ternary4;Ternary5
A0A024R4R4;Plasma;-;-;-;-;-;train;-;-;-;-;-;-;-;train;-;-;validation;-;-;-;-;validation;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A075B6A0;Plasma;-;-;-;-;-;-;-;-;-;-;-;validation;train;-;train;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-
A0A075B6D9;Other;-;train;-;-;-;train;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A087WP85;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;train;-;train;-;-;-;-;-;-;-;-;-;-
A0A087WS07;Apical;-;-;-;-;train;-;-;-;-;-;-;train;-;-;validation;-;-;-;-;-;-;train;train;-;train;-;-;-;train;-;-;train;-;train;-;-;-;train;train;train;train;-;train;-;-
A0A096MJ99;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A096MJY2;Plasma;-;-;-;-;-;-;-;-;train;-;-;-;-;-;train;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;train;-;-;-;-;-;-;train;-;-;-
A0A096MK04;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A096MK30;Plasma;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;train;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;train;train;-;-;-
A0A096MKH3;Plasma;-;-;-;-;-;-;-;-;-;-;train;-;-;train;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A096UWG8;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0A0MP96;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-
A0A0A0MPX5;Other;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-
A0A0A0MPZ5;Plasma;-;-;-;-;-;train;-;-;-;-;-;validation;-;-;-;train;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-
A0A0A0MQ69;Other;-;train;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0A0MXN5;Plasma;-;-;-;-;-;-;-;-;-;-;validation;-;validation;-;train;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-
A0A0A0MXP0;Plasma;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;train;-;-;-;-;-;-;-;-;-;-
A0A0A0MXQ7;Plasma;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-
A0A0A0MXQ9;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-
A0A0A0MXS4;Basolateral;train;train;-;-;-;-;train;train;train;-;-;train;-;validation;train;validation;-;-;-;train;-;-;train;-;train;-;validation;train;validation;-;validation;train;train;-;-;train;-;train;validation;train;validation;train;train;validation;-
A0A0A0MXS5;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0A0MXU8;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0A0RBT6;Basolateral;-;-;-;train;-;validation;train;train;validation;train;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;train;train;-;train;-;train;train;validation;-;-;-;train;validation;validation;validation;train;train;train;train;train;validation
A0A0A6YVW5;Other;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-
A0A0A6YVZ4;Plasma;-;-;-;-;-;-;-;-;-;-;train;-;train;-;-;-;train;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0A6YWN9;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0B4J197;Basolateral;-;-;-;-;-;-;train;train;-;train;-;-;train;-;-;train;train;train;-;train;-;-;train;-;validation;validation;-;-;train;train;-;validation;train;-;train;train;train;validation;validation;train;-;-;validation;train;validation
A0A0B4J1E1;Apical;train;train;train;validation;-;validation;-;-;-;-;train;-;train;-;-;-;train;-;-;train;train;train;train;train;train;-;train;-;-;train;-;-;train;-;-;-;train;train;-;-;train;train;-;train;-
A0A0B4J1F1;Plasma;-;-;-;-;-;-;-;train;train;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;train;-;-;-;-;-;-;train;-;-;-;-
A0A0B4J2H7;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-
A0A0E8PMD4;Basolateral;train;-;-;train;-;train;train;train;-;-;-;-;-;-;-;-;-;-;train;-;-;train;validation;validation;-;-;validation;train;-;train;-;train;-;train;validation;train;validation;train;train;train;train;train;train;train;train
A0A0G2JFG4;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2JNK8;Plasma;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;train;-;-;-;-;-;-;train;-;-;train;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-
A0A0G2JSG4;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2JSH0;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2JSH6;Apical;validation;validation;train;-;-;-;train;-;-;-;train;-;-;-;-;train;validation;-;-;-;-;-;train;validation;-;-;train;-;train;-;-;-;train;-;-;train;-;train;train;train;train;-;-;-;train
A0A0G2JSK0;Basolateral;-;train;train;-;train;train;-;train;train;validation;-;-;train;-;-;train;-;-;-;-;-;train;-;-;-;-;train;train;train;train;-;-;-;validation;-;train;train;validation;train;train;train;train;train;-;train
A0A0G2JSK5;Basolateral;validation;-;-;-;validation;train;train;train;train;train;train;train;-;-;-;-;-;-;-;-;-;train;-;train;train;train;-;train;train;validation;train;train;-;train;-;validation;-;train;train;-;train;train;train;-;-
A0A0G2JSM4;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-
A0A0G2JSM7;Plasma;-;-;-;train;-;-;-;-;-;-;-;-;train;validation;validation;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train
A0A0G2JSN7;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-
A0A0G2JSP9;Basolateral;-;train;validation;-;-;-;train;validation;train;train;-;-;-;-;-;train;validation;-;train;validation;-;-;train;validation;-;validation;validation;validation;train;train;validation;-;-;-;-;train;validation;validation;train;train;train;train;validation;train;train
